id,track_name,artist_name,duration,popularity,link
spotify:track:2AReybVlJuRmHyA08sx1XC,Criminals,Meghan Trainor,154504,58,
spotify:track:1ow8bPqwVD94b99BmIoc2n,Agbara Olorun Po,Pastor Emmanuel Iren,376048,38,
spotify:track:5SOPZYCcIa4eaOJvGM4bQs,Adura,Paul Tomisin,481462,45,
spotify:track:72vmZpM4yGOsGPhp0Qrgzp,Everybody Loves Christmas (feat. Waje & Cast of Everybody Loves Jenifa),Funke Akindele,322330,32,
spotify:track:0eDajJTpZNVXPUXCqza0HZ,Faithful Is Our God,Hezekiah Walker,444933,46,
spotify:track:43iIQbw5hx986dUEZbr3eN,From The Start,Laufey,169573,78,
spotify:track:2uqYupMHANxnwgeiXTZXzd,Austin (Boots Stop Workin'),Dasha,171782,80,
spotify:track:1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,219724,80,
spotify:track:1AdcEWQE8vSDYqOPHZsOSh,In The Room (feat. Annatoria) - Afro Beat Version,Maverick City Music,239036,48,
spotify:track:6tM4E2Je4omnd7FwHt6tyf,Te Amo,121SELAH,226666,41,
spotify:track:279YppmOH2QKY8TgaYRWfC,Alright,Sam Fischer,172536,35,
spotify:track:2By98SEaNLeoeH9yx6pEHd,The Future,Dunsin Oyekan,719178,39,
spotify:track:51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,228639,84,
spotify:track:3TcL0dyCMyr0kyTTc4NLgI,Who Says,Selena Gomez & The Scene,195613,69,
spotify:track:6m94NnMDxM5KM5Ut5vgfhR,Made For Me,Muni Long,186090,66,
spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,175459,85,
spotify:track:7LLrIlKE8zKhxr1eg2uVlD,Ascend,Victoria Orenze,932350,36,
spotify:track:3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,137773,84,
spotify:track:7gQ5c5HY6zMsIck6QLY9dJ,Hurricane,Bridgit Mendler,243986,65,
spotify:track:0vLUcf0D21qANv4C2ES7Ay,Upside Down,JVKE,114500,53,
spotify:track:5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,SZA,180853,83,
spotify:track:6XpEm7VJ7TZxZTawH8BCSW,Jump,Tyla,147071,70,
spotify:track:40ds3xedbMkWhszkGnZwxi,ART,Tyla,148517,68,
spotify:track:1Rweq7vNjK4kZBbGrmxQsl,bye,Ariana Grande,164927,71,
spotify:track:1RMJOxR6GRPsBHL8qeC2ux,Best Part (feat. H.E.R.),Daniel Caesar,209831,82,
spotify:track:4iqYSeFXqFJrqDb11B1v15,"Thou, Oh Lord - Live",The Brooklyn Tabernacle Choir,409560,23,
spotify:track:7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator",180386,87,
spotify:track:6dgUya35uo964z7GZXM07g,Nonsense,Sabrina Carpenter,163648,82,
spotify:track:3ncmoWTwJgx63LwMTyBCXf,Hrs & Hrs,Muni Long,204316,69,
spotify:track:1312ZAYpw7aeRQ8GMkbJux,want u,noevdv,101440,73,
spotify:track:7L5lSrY4QYAwvaqeIXSayN,You Are The Reason - Duet Version,Calum Scott,190760,37,
spotify:track:19XpFsce28aByvCC4g89tJ,Too Sweet,Hozier,251424,81,
spotify:track:4rTPLtqJxa4UtCBkdMwSp6,Whatever,Kygo,178273,72,
spotify:track:32FhTAAjKZaBein150o3Px,because i liked a boy,Sabrina Carpenter,196458,77,
spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,180304,86,
spotify:track:0BEwBflam3FG1sjoVDrCuN,Flowers,Samantha Ebert,224506,60,
spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,201800,85,
spotify:track:2GGhJzqZG04f99FnOoIdyL,God Problems (Not By Power) [feat. Miles Minnick],Maverick City Music,177345,43,
spotify:track:68mOSKT4uBkKddEAhlMO61,Home,Good Neighbours,157485,77,
spotify:track:0dnqwfmW1uWnLRp8urXVD3,You are Mighty (feat. Nick Day & Odell Bunton Jr.),Maverick City Music,203817,42,
spotify:track:1aKvZDoLGkNMxoRYgkckZG,Magnetic,ILLIT,160688,79,
spotify:track:1eUGmzzvahJjOSWgDHuRlv,Girl With The Tattoo Enter.lewd,Miguel,102813,76,
spotify:track:6unndO70DvZfnXYcYQMyQJ,Never Felt So Alone,Labrinth,160166,66,
spotify:track:4IlqQhaxrGPxmg35YcXXuS,Dancin - Krono Remix,Aaron Smith,256000,70,
spotify:track:2Im4gW7xrTDqQFOIjxkb7j,Alone,Anendlessocean,163266,49,
spotify:track:25f7KnoDqO7nBbPahi15UE,NEVER GET USED TO THIS,Forrest Frank,145034,64,
spotify:track:30q0EvbI3uR5VcCUaG4qWK,O' Come All Ye Faithful (Bless the Lord),The Spirituals,357559,17,
spotify:track:7qMRmcVM1ki7z6YgiPmXrU,Monday Morning Faith,SEU Worship,416946,53,
spotify:track:6koKhrBBcExADvWuOgceNZ,Open Arms (feat. Travis Scott),SZA,239613,80,
spotify:track:1XU9zTJSeuZg3qSJJj9kl6,Voilà,André Rieu,310520,54,
