track_name,artist_name,played_at
The Nearness of You - Live at The Symphony,Laufey,2025-02-26T20:54:25.598Z
Trouble,Laufey,2025-02-26T20:51:36.685Z
Falling Behind,Laufey,2025-02-26T20:48:44.335Z
No One Knows (with Laufey),Stephen Sanchez,2025-02-26T20:45:50.193Z
Lovesick,Laufey,2025-02-26T20:41:50.390Z
Street by Street,Laufey,2025-02-26T20:38:04.626Z
James,Laufey,2025-02-26T20:34:20.055Z
Best Friend,Laufey,2025-02-26T20:30:25.488Z
Love Flew Away,Laufey,2025-02-26T20:09:46.354Z
From The Start,Laufey,2025-02-26T20:07:18.705Z
Promise,Laufey,2025-02-26T20:04:29.015Z
It Could Happen To You,Laufey,2025-02-26T20:00:34.282Z
Magnolia,Laufey,2025-02-26T19:58:25.994Z
Fragile,Laufey,2025-02-26T19:55:24.896Z
Where or When,Laufey,2025-02-26T19:50:50.799Z
Dreamer,Laufey,2025-02-26T19:47:27.036Z
A Night To Remember,beabadoobee,2025-02-26T19:43:55.703Z
Goddess,Laufey,2025-02-26T19:40:01.667Z
What Love Will Do to You,Laufey,2025-02-26T19:35:33.365Z
Valentine,Laufey,2025-02-26T19:32:41.569Z
Let You Break My Heart Again,Laufey,2025-02-26T19:29:52.259Z
Like the Movies,Laufey,2025-02-26T19:24:56.667Z
I Wish You Love,Laufey,2025-02-26T19:20:57.683Z
Bored,Laufey,2025-02-26T19:18:18.561Z
Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",2025-02-26T19:13:51.637Z
Lovesick,Laufey,2025-02-25T16:12:30.380Z
Meet Myself,Song House,2025-02-24T12:59:28.556Z
Meet Myself,Song House,2025-02-24T12:55:34.389Z
Meet Myself,Song House,2025-02-24T12:51:40.131Z
Something Something,Natalie Lauren,2025-02-23T19:24:30.910Z
Catch 22 (feat. Natalie Lauren),Swoope,2025-02-22T21:03:04.728Z
Calling You,KB,2025-02-22T20:58:47.783Z
