track_name,artist_name,played_at
Someone New,Laufey,2025-02-03T13:42:42.103Z
I Wish You Love,Laufey,2025-02-03T13:45:17.702Z
No One Knows (with Laufey),Stephen Sanchez,2025-02-03T13:49:17.599Z
Like the Movies,Laufey,2025-02-03T13:52:00.823Z
James,Laufey,2025-02-03T13:55:27.034Z
Fragile,Laufey,2025-02-03T13:59:20.619Z
Yeshua,Minister GUC,2025-02-04T03:58:32.607Z
Rahama (Live),kaestrings,2025-02-04T04:08:49.296Z
Dancin - Krono Remix,Aaron Smith,2025-02-04T09:22:22.512Z
Te Amo,121SELAH,2025-02-04T09:25:57.865Z
Mr Right (with Meghan Trainor),Mae Stephens,2025-02-04T09:28:03.502Z
Alright,Sam Fischer,2025-02-04T09:30:46.872Z
intro (end of the world),Ariana Grande,2025-02-04T09:31:59.062Z
God Is,Kanye West,2025-02-04T09:35:25.661Z
Better When I'm Dancin',Meghan Trainor,2025-02-04T09:38:10.544Z
Nothing,Bruno Major,2025-02-04T09:40:45.616Z
"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,2025-02-04T09:44:02.936Z
Je te laisserai des mots,Patrick Watson,2025-02-04T09:46:43.733Z
Oh My God,Adele,2025-02-04T09:50:54.958Z
Brighter,DOE,2025-02-04T09:53:42.389Z
Marry You,Bruno Mars,2025-02-04T09:57:11.369Z
Liar,Camila Cabello,2025-02-04T10:00:01.345Z
KU LO SA (with Camila Cabello),Oxlade,2025-02-04T10:02:19.400Z
Grateful For,Natalie Layne,2025-02-04T10:05:32.635Z
pov,Ariana Grande,2025-02-04T10:08:34.371Z
Pretty Day,Limoblaze,2025-02-04T10:10:44.146Z
Bed Chem,Sabrina Carpenter,2025-02-04T10:13:13.178Z
Flowers,Lauren Spencer Smith,2025-02-04T10:15:36.181Z
I Forgot That You Existed,Taylor Swift,2025-02-04T10:18:20.287Z
Rollin',Meghan Trainor,2025-02-04T10:20:44.322Z
Nobody Gets Me,SZA,2025-02-04T10:23:20.137Z
Die With A Smile,Lady Gaga,2025-02-04T10:27:01.116Z
Taste,Sabrina Carpenter,2025-02-04T10:29:38.022Z
telepatía,Kali Uchis,2025-02-04T10:32:01.174Z
Made For Me,Muni Long,2025-02-04T10:34:23.243Z
On My Way.,Lord's Child,2025-02-04T10:37:18.228Z
Good Days,SZA,2025-02-04T10:41:32.225Z
Strangers,Kenya Grace,2025-02-04T10:55:07.579Z
Good Graces,Sabrina Carpenter,2025-02-04T10:58:07.036Z
Slippin' (feat. Meghan Trainor),Paul Russell,2025-02-04T11:00:40.712Z
Jump,Tyla,2025-02-04T11:13:56.683Z
God Is,Kanye West,2025-02-05T08:51:34.156Z
Nobody But Jesus (feat. Genavieve Linkowski & Nick Day),Maverick City Music,2025-02-05T08:55:03.235Z
Undignified (Excuse Me),Dunsin Oyekan,2025-02-05T09:08:04.804Z
Aileyipada,Sunmisola Agbebi,2025-02-05T09:15:23.213Z
Covenant Keeping God,Victoria Orenze,2025-02-05T09:22:18.781Z
Be Lifted (Live),MOGmusic,2025-02-05T09:30:44.324Z
Desire (Soaking),kaestrings,2025-02-05T09:35:08.246Z
Not Moved,Victor Thompson,2025-02-05T09:38:27.710Z
We Behold(Qavah Anthem),Abbey Ojomu,2025-02-05T09:38:33.116Z
Igwe,Midnight Crew,2025-02-05T09:41:25.898Z
Oil on My Head,Eben,2025-02-05T09:41:29.752Z
B'ola (Live),Sunmisola Agbebi,2025-02-05T09:41:34.613Z
Withholding Nothing Medley (Live),William McDowell,2025-02-05T09:41:41.491Z
Spontaneous Endless Worship,Victor Thompson,2025-02-05T09:41:49.668Z
heaven on earth,Sinmidele,2025-02-05T09:41:55.405Z
Adonai,Pastor Courage,2025-02-05T09:42:01.759Z
We Raise A Sound,Nosa,2025-02-05T09:49:10.420Z
My Worship (Live Extended),Phil Thompson,2025-02-05T09:56:20.077Z
Twale,Florocka,2025-02-05T10:00:37.386Z
Jesus Christ is seen,Ebuka Songs,2025-02-05T10:01:11.214Z
build-a-boy,Julia Shappy,2025-02-06T09:36:36.786Z
Like I Do,Matthew Ifield,2025-02-06T11:23:19.910Z
Buttons,Lyn Lapid,2025-02-06T11:25:43.332Z
Saturn,SZA,2025-02-06T11:28:51.118Z
loml,Sarah Kang,2025-02-06T11:32:12.883Z
We Spent the Night on a Star,Elijah Fox,2025-02-06T11:34:38.243Z
intro (end of the world),Ariana Grande,2025-02-06T11:36:11.258Z
Falling Behind,Laufey,2025-02-06T11:39:04.252Z
Glue Song,beabadoobee,2025-02-06T11:42:50.358Z
"hold me, never let go",Rocco,2025-02-06T11:46:03.926Z
Best Friend,Laufey,2025-02-06T11:48:48.674Z
The Most Beautiful Thing,Bruno Major,2025-02-06T11:52:44.663Z
the alternative,Lyn Lapid,2025-02-06T11:55:48.993Z
Always,Daniel Caesar,2025-02-06T11:59:34.893Z
I Wish You Love,Laufey,2025-02-06T12:02:10.768Z
Jupiter To Mars,Rocco,2025-02-06T12:05:07.481Z
Moon Ride,Anthony Lazaro,2025-02-06T12:07:47.770Z
Ladyfingers,Herb Alpert & The Tijuana Brass,2025-02-06T12:10:34.798Z
Hey Lover!,Wabie,2025-02-06T12:13:19.126Z
poster boy,Lyn Lapid,2025-02-06T12:16:04.864Z
blue,yung kai,2025-02-06T12:19:38.313Z
In The Morning,Rocco,2025-02-06T12:22:24.581Z
Misty,Lesley Gore,2025-02-06T12:30:53.815Z
If I Could Ride a Bike,Park Bird,2025-02-06T12:34:17.991Z
Sunny,Rocco,2025-02-06T12:37:49.893Z
Meet You Again,Ebony Loren,2025-02-06T12:40:57.610Z
No One Knows (with Laufey),Stephen Sanchez,2025-02-06T12:45:08.270Z
Best Part (feat. H.E.R.),Daniel Caesar,2025-02-06T12:48:39.286Z
Tip Toe,HYBS,2025-02-06T12:52:24.865Z
My Love Mine All Mine,Mitski,2025-02-06T13:16:07.647Z
once in a moon,Sarah Kang,2025-02-06T13:20:13.303Z
Loose,Daniel Caesar,2025-02-06T13:23:19.431Z
When She Loved Me,Lyn Lapid,2025-02-06T13:26:27.504Z
Magnolia,Laufey,2025-02-06T13:29:28.300Z
Slow Down,Laufey,2025-02-06T13:31:53.891Z
Hold Me Down,Daniel Caesar,2025-02-06T13:35:45.656Z
All That I Need,Ebony Loren,2025-02-06T13:39:28.664Z
Here With Me,d4vd,2025-02-06T13:43:31.695Z
Regent's Park,Bruno Major,2025-02-06T13:46:29.744Z
In My Mind,Lyn Lapid,2025-02-06T13:49:12.768Z
Never Tell,Luke Chiang,2025-02-06T13:53:16.884Z
Promise,Laufey,2025-02-06T13:57:11.657Z
Fall for You,Sarah Kang,2025-02-06T14:00:08.199Z
From The Start,Laufey,2025-02-06T14:02:58.148Z
Fly Love,Jamie Foxx,2025-02-06T14:05:37.571Z
All Over Again,Sarah Kang,2025-02-06T14:08:36.911Z
Like the Movies,Laufey,2025-02-06T14:11:20.060Z
Valentine,Laufey,2025-02-06T14:14:09.626Z
east side,Lyn Lapid,2025-02-06T14:16:55.709Z
Beautiful Stranger,Laufey,2025-02-06T14:20:17.436Z
l-o-v-e,Rocco,2025-02-06T14:23:51.961Z
Where or When,Laufey,2025-02-06T14:27:16.826Z
Ride,HYBS,2025-02-06T14:30:20.256Z
Third Avenue,Rocco,2025-02-06T14:33:12.239Z
This Is How It Feels (with Laufey),d4vd,2025-02-06T14:37:57.041Z
Maps in French,Anthony Lazaro,2025-02-06T14:40:23.822Z
Nocturne (Interlude),Laufey,2025-02-06T14:42:48.482Z
